time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb,spread
1900-01-22 00:00:00,8010.5,17142,8011.0,28881,63687,171808,-108121,-11739,0.5
1900-01-22 00:00:15,8011.0,808160,8011.5,96250,181278,72424,108854,711910,0.5
1900-01-22 00:00:30,8020.5,702368,8021.0,2403,160161,14974,145187,699965,0.5
1900-01-22 00:00:45,8023.5,362931,8024.0,30678,49928,56605,-6677,332253,0.5
1900-01-22 00:01:00,8025.5,962516,8026.0,9533,276727,12163,264564,952983,0.5
1900-01-22 00:01:15,8031.0,632617,8031.5,8611,444170,59962,384208,624006,0.5
1900-01-22 00:01:30,8033.0,268260,8033.5,742559,515563,3004,512559,-474299,0.5
1900-01-22 00:01:45,8025.0,1239140,8025.5,316316,42383,134347,-91964,922824,0.5
1900-01-22 00:02:00,8031.5,27268,8032.0,7518,162358,27804,134554,19750,0.5
1900-01-22 00:02:15,8033.5,928248,8034.0,82674,146679,29182,117497,845574,0.5
1900-01-22 00:02:30,8034.5,1763388,8035.0,911740,583939,71964,511975,851648,0.5
1900-01-22 00:02:45,8024.0,10453,8024.5,429903,154799,123949,30850,-419450,0.5
1900-01-22 00:03:00,8024.0,844962,8024.5,225550,27366,89924,-62558,619412,0.5
1900-01-22 00:03:15,8034.5,965004,8035.0,1214805,321781,6240,315541,-249801,0.5
1900-01-22 00:03:30,8039.0,284199,8039.5,70199,445632,24064,421568,214000,0.5
1900-01-22 00:03:45,8040.0,483396,8040.5,408941,223859,18711,205148,74455,0.5
1900-01-22 00:04:00,8041.0,946714,8041.5,3901,234561,18698,215863,942813,0.5
1900-01-22 00:04:15,8041.5,833489,8042.0,18786,58053,247306,-189253,814703,0.5
1900-01-22 00:04:30,8043.5,798425,8044.0,102972,144450,22665,121785,695453,0.5
1900-01-22 00:04:45,8037.0,104822,8037.5,325114,204385,371307,-166922,-220292,0.5
1900-01-22 00:05:00,8037.0,38048,8037.5,385582,166251,158307,7944,-347534,0.5
1900-01-22 00:05:15,8037.5,887904,8038.0,130110,193454,109129,84325,757794,0.5
1900-01-22 00:05:30,8045.0,171084,8045.5,127235,213299,9770,203529,43849,0.5
1900-01-22 00:05:45,8041.5,1115181,8042.0,1351,32499,57512,-25013,1113830,0.5
1900-01-22 00:06:00,8044.0,315683,8044.5,329443,85376,22262,63114,-13760,0.5
1900-01-22 00:06:15,8044.0,434839,8044.5,475126,71324,65660,5664,-40287,0.5
1900-01-22 00:06:30,8038.0,20000,8038.5,41496,37985,84632,-46647,-21496,0.5
1900-01-22 00:06:45,8035.5,104187,8036.0,46,37728,157846,-120118,104141,0.5
1900-01-22 00:07:00,8033.5,9731,8034.0,248795,148062,62226,85836,-239064,0.5
1900-01-22 00:07:15,8030.5,125979,8031.0,382159,10021,245965,-235944,-256180,0.5
1900-01-22 00:07:30,8030.5,50248,8031.0,511404,2105,37744,-35639,-461156,0.5
1900-01-22 00:07:45,8032.0,471841,8032.5,21103,56471,3500,52971,450738,0.5
1900-01-22 00:08:00,8042.0,208375,8042.5,55863,80674,32991,47683,152512,0.5
1900-01-22 00:08:15,8042.0,795069,8042.5,117984,101906,9325,92581,677085,0.5
1900-01-22 00:08:30,8049.0,248476,8049.5,62363,132209,8905,123304,186113,0.5
1900-01-22 00:08:45,8049.0,493270,8049.5,241418,164899,6212,158687,251852,0.5
1900-01-22 00:09:00,8049.5,522069,8050.0,52580,128228,62956,65272,469489,0.5
1900-01-22 00:09:15,8050.5,26457,8051.0,560629,104395,15651,88744,-534172,0.5
1900-01-22 00:09:30,8048.0,81520,8048.5,495141,89356,85812,3544,-413621,0.5
1900-01-22 00:09:45,8044.0,203246,8044.5,551591,116386,120940,-4554,-348345,0.5
1900-01-22 00:10:00,8047.5,90599,8048.0,20199,107055,75079,31976,70400,0.5
1900-01-22 00:10:15,8049.0,646277,8049.5,52440,89239,10709,78530,593837,0.5
1900-01-22 00:10:30,8062.5,76962,8064.0,8559,259048,4893,254155,68403,1.5
1900-01-22 00:10:45,8067.5,77455,8068.0,192073,95947,17710,78237,-114618,0.5
1900-01-22 00:11:00,8052.0,526983,8052.5,108097,27609,460245,-432636,418886,0.5
1900-01-22 00:11:15,8061.0,94280,8061.5,10075,72893,48127,24766,84205,0.5
1900-01-22 00:11:30,8058.5,336768,8059.0,74048,125898,27027,98871,262720,0.5
1900-01-22 00:11:45,8057.0,590627,8057.5,177821,69860,62990,6870,412806,0.5
1900-01-22 00:12:00,8052.0,230009,8052.5,615099,71249,115095,-43846,-385090,0.5
1900-01-22 00:12:15,8053.5,266882,8054.0,350130,4781,47061,-42280,-83248,0.5
1900-01-22 00:12:30,8049.5,24907,8050.0,339179,7674,72686,-65012,-314272,0.5
1900-01-22 00:12:45,8044.0,17301,8044.5,488614,154,185354,-185200,-471313,0.5
1900-01-22 00:13:00,8043.0,4260,8043.5,42668,31696,359625,-327929,-38408,0.5
1900-01-22 00:13:15,8039.0,80638,8039.5,169086,30310,231764,-201454,-88448,0.5
1900-01-22 00:13:30,8036.5,818549,8037.0,257309,22681,238485,-215804,561240,0.5
1900-01-22 00:13:45,8036.5,380112,8037.0,655718,49224,3284,45940,-275606,0.5
1900-01-22 00:14:00,8036.5,780763,8037.0,71801,92990,16769,76221,708962,0.5
1900-01-22 00:14:15,8039.5,477830,8040.0,220594,52243,5835,46408,257236,0.5
1900-01-22 00:14:30,8039.5,641582,8040.0,452250,22353,3905,18448,189332,0.5
1900-01-22 00:14:45,8040.0,268486,8040.5,509189,32869,7807,25062,-240703,0.5
1900-01-22 00:15:00,8040.0,162920,8040.5,820270,11627,25373,-13746,-657350,0.5
1900-01-22 00:15:15,8040.0,324657,8040.5,644427,10269,78215,-67946,-319770,0.5
1900-01-22 00:15:30,8040.0,284802,8040.5,935564,10899,90852,-79953,-650762,0.5
1900-01-22 00:15:45,8040.0,311663,8040.5,731284,9993,12358,-2365,-419621,0.5
1900-01-22 00:16:00,8040.0,230045,8040.5,859535,560,78982,-78422,-629490,0.5
1900-01-22 00:16:15,8038.0,666119,8038.5,321244,1240,68795,-67555,344875,0.5
1900-01-22 00:16:30,8038.0,303249,8038.5,998971,3513,66228,-62715,-695722,0.5
1900-01-22 00:16:45,8036.5,115058,8037.0,774271,1802,63689,-61887,-659213,0.5
1900-01-22 00:17:00,8028.0,23619,8028.5,43304,17872,317337,-299465,-19685,0.5
1900-01-22 00:17:15,8021.5,253224,8022.0,222087,8800,329478,-320678,31137,0.5
1900-01-22 00:17:30,8022.5,251297,8023.0,12387,91554,58177,33377,238910,0.5
1900-01-22 00:17:45,8019.0,184324,8019.5,1287566,20681,339582,-318901,-1103242,0.5
1900-01-22 00:18:00,8020.0,11500,8022.5,33587,119580,299007,-179427,-22087,2.5
1900-01-22 00:18:15,8024.5,387909,8025.0,317607,161319,44823,116496,70302,0.5
1900-01-22 00:18:30,8029.5,368982,8030.0,253960,130769,4298,126471,115022,0.5
1900-01-22 00:18:45,8024.5,165336,8025.0,895997,38899,97876,-58977,-730661,0.5
1900-01-22 00:19:00,8022.5,22,8023.0,1078492,22600,56920,-34320,-1078470,0.5
1900-01-22 00:19:15,8019.5,72056,8020.0,1161179,12090,156866,-144776,-1089123,0.5
1900-01-22 00:19:30,8018.5,491002,8019.0,283502,10934,17563,-6629,207500,0.5
1900-01-22 00:19:45,8020.0,552274,8020.5,109086,46415,57896,-11481,443188,0.5
1900-01-22 00:20:00,8020.0,565194,8020.5,86136,55647,15199,40448,479058,0.5
1900-01-22 00:20:15,8020.0,674261,8020.5,30444,18985,31466,-12481,643817,0.5
1900-01-22 00:20:30,8022.5,492578,8023.0,51126,99457,6001,93456,441452,0.5
1900-01-22 00:20:45,8020.0,78955,8020.5,999474,36123,28635,7488,-920519,0.5
1900-01-22 00:21:00,8015.0,72214,8015.5,720225,8511,81799,-73288,-648011,0.5
1900-01-22 00:21:15,8012.5,320430,8013.0,294987,5500,109708,-104208,25443,0.5
1900-01-22 00:21:30,8012.0,24176,8012.5,1269860,70753,99854,-29101,-1245684,0.5
1900-01-22 00:21:45,8008.5,75830,8009.0,719058,25507,185638,-160131,-643228,0.5
1900-01-22 00:22:00,8008.0,664825,8008.5,54474,37067,63653,-26586,610351,0.5
1900-01-22 00:22:15,8012.0,451550,8012.5,352405,57492,61064,-3572,99145,0.5
1900-01-22 00:22:30,8009.0,282365,8009.5,524417,34476,92943,-58467,-242052,0.5
1900-01-22 00:22:45,8000.0,1168189,8000.5,557774,89967,466190,-376223,610415,0.5
1900-01-22 00:23:00,8014.5,201585,8015.0,432453,429423,137494,291929,-230868,0.5
1900-01-22 00:23:15,8014.5,998638,8015.0,27743,166837,13270,153567,970895,0.5
1900-01-22 00:23:30,8018.0,120517,8018.5,646374,50043,54585,-4542,-525857,0.5
1900-01-22 00:23:45,8018.0,691470,8018.5,113727,62381,28120,34261,577743,0.5
1900-01-22 00:24:00,8018.0,527172,8018.5,207076,22167,14465,7702,320096,0.5
1900-01-22 00:24:15,8017.0,155461,8017.5,754353,9608,82437,-72829,-598892,0.5
1900-01-22 00:24:30,8008.0,5600,8009.0,18199,21728,69775,-48047,-12599,1.0
1900-01-22 00:24:45,8007.0,960744,8007.5,19121,19348,124627,-105279,941623,0.5
1900-01-22 00:25:00,8010.5,32912,8011.0,3633063,14490,39246,-24756,-3600151,0.5
1900-01-22 00:25:15,8010.0,2349,8010.5,884463,15272,46093,-30821,-882114,0.5
1900-01-22 00:25:30,8008.0,623088,8008.5,33975,2519,48313,-45794,589113,0.5
1900-01-22 00:25:45,8011.5,871855,8012.0,47923,111194,1073,110121,823932,0.5
1900-01-22 00:26:00,8017.0,136628,8017.5,702765,123653,11029,112624,-566137,0.5
1900-01-22 00:26:15,8017.0,298600,8017.5,833968,20472,226,20246,-535368,0.5
1900-01-22 00:26:30,8016.5,980,8017.0,798696,35099,6672,28427,-797716,0.5
1900-01-22 00:26:45,8014.0,38812,8014.5,149674,23408,50115,-26707,-110862,0.5
1900-01-22 00:27:00,8012.5,23183,8013.0,780505,8391,32108,-23717,-757322,0.5
1900-01-22 00:27:15,8010.0,239777,8010.5,736055,136,17070,-16934,-496278,0.5
1900-01-22 00:27:30,8001.5,571438,8002.0,380224,11021,132525,-121504,191214,0.5
1900-01-22 00:27:45,8000.0,414449,8000.5,992111,18062,666241,-648179,-577662,0.5
1900-01-22 00:28:00,8000.0,1062888,8000.5,1101754,59001,447664,-388663,-38866,0.5
1900-01-22 00:28:15,8009.5,778047,8010.0,323733,150933,12820,138113,454314,0.5
1900-01-22 00:28:30,8009.5,757726,8010.0,137689,202844,7002,195842,620037,0.5
1900-01-22 00:28:45,8011.5,927085,8012.0,106716,90072,7911,82161,820369,0.5
1900-01-22 00:29:00,8015.0,564457,8015.5,427813,77444,5210,72234,136644,0.5
1900-01-22 00:29:15,8015.0,166165,8015.5,622194,60940,47390,13550,-456029,0.5
1900-01-22 00:29:30,8018.0,1142053,8018.5,141967,77061,14389,62672,1000086,0.5
1900-01-22 00:29:45,8018.0,839774,8018.5,109546,225695,1650,224045,730228,0.5
1900-01-22 00:30:00,8019.5,879334,8020.0,118241,83713,25037,58676,761093,0.5
1900-01-22 00:30:15,8027.0,404981,8027.5,5449,142047,48563,93484,399532,0.5
1900-01-22 00:30:30,8027.0,382038,8027.5,547099,57404,34754,22650,-165061,0.5
1900-01-22 00:30:45,8027.0,594061,8027.5,442157,59270,53980,5290,151904,0.5
1900-01-22 00:31:00,8023.0,1906,8023.5,644525,27990,75675,-47685,-642619,0.5
