time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb,spread
1900-01-23 00:00:00,7958.5,19379,7959.0,1061481,82527,60979,21548,-1042102,0.5
1900-01-23 00:00:15,7954.0,537497,7954.5,177886,64360,287071,-222711,359611,0.5
1900-01-23 00:00:30,7954.5,709190,7955.0,356293,173691,21169,152522,352897,0.5
1900-01-23 00:00:45,7954.5,1018203,7955.0,345177,73475,90641,-17166,673026,0.5
1900-01-23 00:01:00,7962.5,659586,7963.0,21347,413146,33933,379213,638239,0.5
1900-01-23 00:01:15,7970.0,69331,7970.5,71940,236361,81762,154599,-2609,0.5
1900-01-23 00:01:30,7966.0,918754,7966.5,138472,30590,61398,-30808,780282,0.5
1900-01-23 00:01:45,7969.5,312699,7970.0,628922,87590,5572,82018,-316223,0.5
1900-01-23 00:02:00,7973.0,225448,7973.5,384392,158836,21769,137067,-158944,0.5
1900-01-23 00:02:15,7973.0,1086332,7973.5,38569,98279,14058,84221,1047763,0.5
1900-01-23 00:02:30,7979.0,831034,7979.5,7395,204263,3600,200663,823639,0.5
1900-01-23 00:02:45,7982.5,164665,7983.0,1281927,281220,1710,279510,-1117262,0.5
1900-01-23 00:03:00,7982.0,46086,7982.5,1340565,82898,155436,-72538,-1294479,0.5
1900-01-23 00:03:15,7982.0,864240,7982.5,2132,43534,96495,-52961,862108,0.5
1900-01-23 00:03:30,7982.0,96580,7982.5,1137379,131008,8360,122648,-1040799,0.5
1900-01-23 00:03:45,7982.0,867416,7982.5,63636,5184,24449,-19265,803780,0.5
1900-01-23 00:04:00,7982.0,1053126,7982.5,533317,103128,10,103118,519809,0.5
1900-01-23 00:04:15,7982.0,1126888,7982.5,51750,64768,14450,50318,1075138,0.5
1900-01-23 00:04:30,7981.5,7622,7982.0,598378,55005,74780,-19775,-590756,0.5
1900-01-23 00:04:45,7974.5,409449,7975.0,120739,3163,69479,-66316,288710,0.5
1900-01-23 00:05:00,7974.5,674711,7975.0,400986,10650,16687,-6037,273725,0.5
1900-01-23 00:05:15,7974.5,319225,7975.0,1022949,44806,5352,39454,-703724,0.5
1900-01-23 00:05:30,7978.5,530595,7979.0,35848,265235,26452,238783,494747,0.5
1900-01-23 00:05:45,7980.0,872969,7980.5,5674,3712,1201,2511,867295,0.5
1900-01-23 00:06:00,7980.5,1198281,7981.0,11767,137907,1020,136887,1186514,0.5
1900-01-23 00:06:15,7980.5,1535309,7981.0,48272,135911,400,135511,1487037,0.5
1900-01-23 00:06:30,7982.5,918119,7983.0,147851,56742,1620,55122,770268,0.5
1900-01-23 00:06:45,7983.0,1253886,7983.5,18187,38191,21,38170,1235699,0.5
1900-01-23 00:07:00,7984.0,219336,7984.5,690605,25199,10556,14643,-471269,0.5
1900-01-23 00:07:15,7980.5,55896,7981.0,90069,20911,187285,-166374,-34173,0.5
1900-01-23 00:07:30,7974.0,57563,7974.5,245514,20148,282747,-262599,-187951,0.5
1900-01-23 00:07:45,7974.5,563064,7975.0,4239,67845,110005,-42160,558825,0.5
1900-01-23 00:08:00,7974.5,1856779,7975.0,40312,11863,2021,9842,1816467,0.5
1900-01-23 00:08:15,7974.5,1682618,7975.0,16795,31700,4832,26868,1665823,0.5
1900-01-23 00:08:30,7977.0,114861,7977.5,695103,6274,2050,4224,-580242,0.5
1900-01-23 00:08:45,7971.0,56910,7971.5,489406,11828,163068,-151240,-432496,0.5
1900-01-23 00:09:00,7968.0,227340,7968.5,708698,9014,240010,-230996,-481358,0.5
1900-01-23 00:09:15,7968.0,819114,7968.5,297603,75014,152529,-77515,521511,0.5
1900-01-23 00:09:30,7968.0,950172,7968.5,496772,4801,2120,2681,453400,0.5
1900-01-23 00:09:45,7975.5,36229,7976.0,1008105,44208,11166,33042,-971876,0.5
1900-01-23 00:10:00,7975.5,78303,7976.0,1061282,6505,42001,-35496,-982979,0.5
1900-01-23 00:10:15,7974.0,31767,7974.5,1314470,2562,18446,-15884,-1282703,0.5
1900-01-23 00:10:30,7970.5,566,7971.0,1012700,560,34766,-34206,-1012134,0.5
1900-01-23 00:10:45,7970.0,34623,7970.5,1270809,560,20308,-19748,-1236186,0.5
1900-01-23 00:11:00,7969.0,22739,7969.5,1261875,101,17898,-17797,-1239136,0.5
1900-01-23 00:11:15,7968.0,108283,7968.5,1045038,1,22669,-22668,-936755,0.5
1900-01-23 00:11:30,7968.0,842366,7968.5,468887,3000,26831,-23831,373479,0.5
1900-01-23 00:11:45,7967.0,71620,7967.5,1395011,19862,31165,-11303,-1323391,0.5
